nama_site,kota_kabupaten,month,scope_of_work,actual_severity,predicted_severity,confidence_score,confidence_minor,confidence_major,top_factor_1,top_factor_2
kdr1-07-060,kota/kab kediri,2,a2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
trk-07-101,kabupaten trenggalek,11,gne,Minor,Major,0.6,0.4,0.6,site_code,scope_of_work
jbg/07/088,kabupaten jombang,7,gnp,Minor,Minor,0.76,0.76,0.24,site_code,scope_of_work
sda-07-245,kota surabaya,11,rns,Minor,Major,0.95,0.05,0.95,site_code,scope_of_work
lmg-07-080,kabupaten lamongan,10,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
mlg/07/232,kota malang,7,rne,Minor,Minor,0.69,0.69,0.31,site_code,scope_of_work
ngw-07-114,kabupaten ngawi,5,gne,Minor,Minor,0.94,0.94,0.06,site_code,scope_of_work
mgt-07-069,kabupaten magetan,6,rne,Minor,Major,0.79,0.21,0.79,site_code,scope_of_work
byw-07-038,kabupaten banyuwangi,2,b4,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
kdr-07-043,kota/kab kediri,11,pst,Minor,Minor,0.91,0.91,0.09,site_code,scope_of_work
spg-07-047,kabupaten sampang,10,gne,Minor,Minor,0.98,0.98,0.02,site_code,scope_of_work
png-07-080,kabupaten ponorogo,8,gns,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
mlg-07-095,kota malang,2,q2,Minor,Minor,0.78,0.78,0.22,site_code,scope_of_work
smp-07-035,kabupaten sumenep,5,gne,Minor,Minor,0.93,0.93,0.07,site_code,scope_of_work
lmg-07-075,kabupaten lamongan,2,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
mjy-07-062,kota/kab madiun,3,vw2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
psr-07-015,kota/kab pasuruan,5,gne,Minor,Major,0.82,0.18,0.82,site_code,scope_of_work
mjy/07/073,kota/kab madiun,12,gns,Minor,Minor,0.9,0.9,0.1,site_code,scope_of_work
mgt/07/069,kabupaten magetan,7,pst,Minor,Minor,0.88,0.88,0.12,site_code,scope_of_work
png/07/009,kabupaten ponorogo,12,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
kpn-07-029,kabupaten malang,1,a2,Minor,Major,0.7101666666666666,0.28983333333333333,0.7101666666666666,site_code,scope_of_work
sby-07-634,kota surabaya,4,rne,Minor,Major,0.95,0.05,0.95,site_code,scope_of_work
sby-07-195,kota surabaya,6,gnp,Major,Minor,0.82,0.82,0.18,site_code,scope_of_work
psr-07-053,kota/kab pasuruan,1,m9,Major,Minor,0.67,0.67,0.33,site_code,scope_of_work
krs-07-040,kota/kab probolinggo,10,gne,Minor,Major,0.9,0.1,0.9,site_code,scope_of_work
njk-07-069,kabupaten nganjuk,6,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
kpn-07-279,kabupaten malang,5,gns,Minor,Major,0.77,0.23,0.77,site_code,scope_of_work
jmr-07-104,kabupaten jember,4,gne,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
png/07/154,kabupaten ponorogo,7,m9,Minor,Minor,0.54,0.54,0.46,site_code,scope_of_work
mjk-07-056,kota/kab mojokerto,9,rns,Major,Major,0.5508333333333334,0.44916666666666666,0.5508333333333334,site_code,scope_of_work
sda-07-078,kabupaten sidoarjo,1,q2,Minor,Minor,1.0,1.0,0.0,site_code,scope_of_work
mad-07-039,kota/kab madiun,10,rns,Major,Major,1.0,0.0,1.0,site_code,scope_of_work
mlg-07-230,kota malang,1,a6,Minor,Major,0.89,0.11,0.89,site_code,scope_of_work
mjy-07-039,kota/kab madiun,9,gne,Minor,Minor,0.7,0.7,0.3,site_code,scope_of_work
sda/07/280,kabupaten sidoarjo,7,rne,Minor,Minor,0.66,0.66,0.34,site_code,scope_of_work
bjn/07/039,kabupaten bojonegoro,7,gne,Minor,Minor,0.79,0.79,0.21,site_code,scope_of_work
kpn-07-093,kota malang,9,rne,Major,Major,0.96,0.04,0.96,site_code,scope_of_work
mjk1-07-065,kota/kab mojokerto,5,m9,Major,Major,0.95,0.05,0.95,site_code,scope_of_work
